seed,family_size,arm,accepted,true_accepts,false_accepts,recall,empirical_fdr
129,100,Random-25,0,0,0,0.0,0.0
129,100,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
130,100,Exhaustive-Expanded,4,3,1,1.0,0.25
130,100,Random-25,1,1,0,0.3333333333333333,0.0
130,100,VeraDM-prior,1,1,0,0.3333333333333333,0.0
131,100,Exhaustive-Expanded,3,3,0,1.0,0.0
131,100,Random-25,0,0,0,0.0,0.0
131,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
132,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
132,100,Random-25,0,0,0,0.0,0.0
132,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
133,100,Exhaustive-Expanded,3,3,0,1.0,0.0
133,100,Random-25,1,1,0,0.3333333333333333,0.0
133,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
134,100,Exhaustive-Expanded,3,3,0,1.0,0.0
134,100,Random-25,1,0,1,0.0,1.0
134,100,VeraDM-prior,4,3,1,1.0,0.25
135,100,Exhaustive-Expanded,3,3,0,1.0,0.0
135,100,Random-25,0,0,0,0.0,0.0
135,100,VeraDM-prior,4,3,1,1.0,0.25
136,100,Exhaustive-Expanded,3,3,0,1.0,0.0
136,100,Random-25,1,1,0,0.3333333333333333,0.0
136,100,VeraDM-prior,3,3,0,1.0,0.0
137,100,Exhaustive-Expanded,3,3,0,1.0,0.0
137,100,Random-25,0,0,0,0.0,0.0
137,100,VeraDM-prior,4,3,1,1.0,0.25
138,100,Exhaustive-Expanded,4,3,1,1.0,0.25
138,100,Random-25,1,1,0,0.3333333333333333,0.0
138,100,VeraDM-prior,3,3,0,1.0,0.0
139,100,Exhaustive-Expanded,3,3,0,1.0,0.0
139,100,Random-25,1,1,0,0.3333333333333333,0.0
139,100,VeraDM-prior,4,3,1,1.0,0.25
140,100,Exhaustive-Expanded,4,3,1,1.0,0.25
140,100,Random-25,0,0,0,0.0,0.0
140,100,VeraDM-prior,6,3,3,1.0,0.5
141,100,Exhaustive-Expanded,4,3,1,1.0,0.25
141,100,Random-25,0,0,0,0.0,0.0
141,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
142,100,Exhaustive-Expanded,4,3,1,1.0,0.25
142,100,Random-25,1,1,0,0.3333333333333333,0.0
142,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
143,100,Exhaustive-Expanded,3,3,0,1.0,0.0
143,100,Random-25,0,0,0,0.0,0.0
143,100,VeraDM-prior,3,3,0,1.0,0.0
144,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
144,100,Random-25,2,2,0,0.6666666666666666,0.0
144,100,VeraDM-prior,3,3,0,1.0,0.0
145,100,Exhaustive-Expanded,3,3,0,1.0,0.0
145,100,Random-25,2,1,1,0.3333333333333333,0.5
145,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
146,100,Exhaustive-Expanded,3,3,0,1.0,0.0
146,100,Random-25,0,0,0,0.0,0.0
146,100,VeraDM-prior,4,3,1,1.0,0.25
147,100,Exhaustive-Expanded,3,3,0,1.0,0.0
147,100,Random-25,1,1,0,0.3333333333333333,0.0
147,100,VeraDM-prior,4,3,1,1.0,0.25
148,100,Exhaustive-Expanded,3,3,0,1.0,0.0
148,100,Random-25,1,1,0,0.3333333333333333,0.0
148,100,VeraDM-prior,3,3,0,1.0,0.0
149,100,Exhaustive-Expanded,5,3,2,1.0,0.4
149,100,Random-25,1,1,0,0.3333333333333333,0.0
149,100,VeraDM-prior,3,3,0,1.0,0.0
150,100,Exhaustive-Expanded,3,3,0,1.0,0.0
150,100,Random-25,1,1,0,0.3333333333333333,0.0
150,100,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
151,100,Exhaustive-Expanded,3,3,0,1.0,0.0
151,100,Random-25,1,1,0,0.3333333333333333,0.0
151,100,VeraDM-prior,3,3,0,1.0,0.0
152,100,Exhaustive-Expanded,4,3,1,1.0,0.25
152,100,Random-25,1,1,0,0.3333333333333333,0.0
152,100,VeraDM-prior,3,3,0,1.0,0.0
153,100,Exhaustive-Expanded,3,3,0,1.0,0.0
153,100,Random-25,0,0,0,0.0,0.0
153,100,VeraDM-prior,3,3,0,1.0,0.0
154,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
154,100,Random-25,2,2,0,0.6666666666666666,0.0
154,100,VeraDM-prior,4,3,1,1.0,0.25
155,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
155,100,Random-25,3,2,1,0.6666666666666666,0.3333333333333333
155,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
156,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
156,100,Random-25,0,0,0,0.0,0.0
156,100,VeraDM-prior,3,3,0,1.0,0.0
157,100,Exhaustive-Expanded,3,3,0,1.0,0.0
157,100,Random-25,2,2,0,0.6666666666666666,0.0
157,100,VeraDM-prior,3,3,0,1.0,0.0
158,100,Exhaustive-Expanded,3,3,0,1.0,0.0
